Year,Location,Experiment,Genotype,Species,PlantID_ReplicateNumber,Plot,Replicate,Test_Type,Tester_Name,Planting_Date,Testing_Date,force_N,raw_data_file,Additional_Notes,displacement_mm,displacement_m,line_raw_slope_N/m
2021,Newark,Repeat Testing 1,CML258,Maize,965-1-TEST1,965,1,A,JR,5/20/21,8/13/21,50.91,965-1-TEST1_08_13_2021_09_41_28.xls,TEST1,6.6,0.0066,5674.19635
2021,Newark,Repeat Testing 1,CML258,Maize,965-1-TEST1,965,1,A,JR,5/20/21,8/13/21,57.78,965-1-TEST1_08_13_2021_09_41_28.xls,TEST1,7.9,0.0079,5674.19635
2021,Newark,Repeat Testing 1,CML258,Maize,965-1-TEST1,965,1,A,JR,5/20/21,8/13/21,66.32,965-1-TEST1_08_13_2021_09_41_28.xls,TEST1,9.2,0.0092,5674.19635
2021,Newark,Repeat Testing 1,CML258,Maize,965-1-TEST1,965,1,A,JR,5/20/21,8/13/21,74.75,965-1-TEST1_08_13_2021_09_41_28.xls,TEST1,10.5,0.0105,5674.19635
2021,Newark,Repeat Testing 1,CML258,Maize,965-1-TEST1,965,1,A,JR,5/20/21,8/13/21,81.91,965-1-TEST1_08_13_2021_09_41_28.xls,TEST1,11.8,0.0118,5674.19635
2021,Newark,Repeat Testing 1,CML258,Maize,965-1-TEST1,965,1,A,JR,5/20/21,8/13/21,89.27,965-1-TEST1_08_13_2021_09_41_28.xls,TEST1,13.1,0.0131,5674.19635
2021,Newark,Repeat Testing 1,CML258,Maize,965-1-TEST1,965,1,A,JR,5/20/21,8/13/21,95.65,965-1-TEST1_08_13_2021_09_41_28.xls,TEST1,14.4,0.0144,5674.19635
2021,Newark,Repeat Testing 1,CML258,Maize,965-1-TEST1,965,1,A,JR,5/20/21,8/13/21,102.12,965-1-TEST1_08_13_2021_09_41_28.xls,TEST1,15.8,0.0158,5674.19635
2021,Newark,Repeat Testing 1,CML258,Maize,965-1-TEST1,965,1,B,JR,5/20/21,8/13/21,31.88,965-1-TEST1_08_13_2021_09_41_47.xls,TEST1,6.6,0.0066,7576.12267
2021,Newark,Repeat Testing 1,CML258,Maize,965-1-TEST1,965,1,B,JR,5/20/21,8/13/21,39.63,965-1-TEST1_08_13_2021_09_41_47.xls,TEST1,7.9,0.0079,7576.12267
2021,Newark,Repeat Testing 1,CML258,Maize,965-1-TEST1,965,1,B,JR,5/20/21,8/13/21,48.36,965-1-TEST1_08_13_2021_09_41_47.xls,TEST1,9.2,0.0092,7576.12267
2021,Newark,Repeat Testing 1,CML258,Maize,965-1-TEST1,965,1,B,JR,5/20/21,8/13/21,57.88,965-1-TEST1_08_13_2021_09_41_47.xls,TEST1,10.5,0.0105,7576.12267
